competition_id,name,type,country_id,domestic_league_code
CIT,italy-cup,domestic_cup,75,IT1
NLSC,johan-cruijff-schaal,other,122,NL1
GRP,kypello-elladas,domestic_cup,56,GR1
POSU,supertaca-candido-de-oliveira,other,136,PO1
RUSS,russian-super-cup,other,141,RU1
SUC,supercopa,other,157,ES1
USC,uefa-super-cup,other,-1,
DK1,superligaen,domestic_league,39,DK1
EL,europa-league,international_cup,-1,
ES1,laliga,domestic_league,157,ES1
FR1,ligue-1,domestic_league,50,FR1
IT1,serie-a,domestic_league,75,IT1
NL1,eredivisie,domestic_league,122,NL1
RUP,russian-cup,domestic_cup,141,RU1
PO1,liga-portugal-bwin,domestic_league,136,PO1
BESC,belgian-supercup,other,19,BE1
GB1,premier-league,domestic_league,189,GB1
ELQ,europa-league-qualifikation,international_cup,-1,
CGB,efl-cup,other,189,GB1
DKP,sydbank-pokalen,domestic_cup,39,DK1
ECLQ,uefa-europa-conference-league-qualifikation,international_cup,-1,
FAC,fa-cup,domestic_cup,189,GB1
NLP,toto-knvb-beker,domestic_cup,122,NL1
UKRS,ukrainian-super-cup,other,177,UKR1
UKR1,premier-liga,domestic_league,177,UKR1
CDR,copa-del-rey,domestic_cup,157,ES1
CL,uefa-champions-league,international_cup,-1,
GR1,super-league-1,domestic_league,56,GR1
TR1,super-lig,domestic_league,174,TR1
POCP,allianz-cup,domestic_cup,136,PO1
GBCS,community-shield,other,189,GB1
KLUB,fifa-klub-wm,other,-1,
L1,bundesliga,domestic_league,40,L1
RU1,premier-liga,domestic_league,141,RU1
SC1,scottish-premiership,domestic_league,190,SC1
SCI,supercoppa-italiana,other,75,IT1
BE1,jupiler-pro-league,domestic_league,19,BE1
CLQ,uefa-champions-league-qualifikation,international_cup,-1,
DFL,dfl-supercup,other,40,L1
SFA,sfa-cup,domestic_cup,190,SC1
UKRP,ukrainian-cup,domestic_cup,177,UKR1
DFB,dfb-pokal,domestic_cup,40,L1
FRCH,trophee-des-champions,other,50,FR1
WLD,fifa-world-cup,international_cup,-1,
