2230,Premier League,West Ham,Aaron Cresswell,Aaron Cresswell,Aaron Cresswell,1,0
1801,Premier League,Brentford,Aaron Hickey,Aaron Hickey,Aaron Hickey,1,0
318,Bundesliga,Mainz 05,Aarón Martín,Aaron Martin,Aaron Martin,1,0
1718,Premier League,Arsenal,Aaron Ramsdale,Aaron Ramsdale,Aaron Ramsdale,1,0
1502,Ligue 1,Nice,Aaron Ramsey,Aaron Ramsey,Aaron Ramsey,1,0
2079,Premier League,Manchester Utd,Aaron Wan-Bissaka,Aaron Wan-Bissaka,Aaron Wan-Bissaka,1,0
1,Bundesliga,Augsburg,Aaron Zehnter,Aaron Zehnter,Aaron Zehnter,1,0
1148,Ligue 1,Angers,Abdallah Sima,Abdallah Sima,Abdallah Sima,1,0
2727,Serie A,Sampdoria,Abdelhamid Sabiri,Abdelhamid Sabiri,Abdelhamid Sabiri,1,0
871,La Liga,Osasuna,Abdessamad Ezzalzouli,Abde Ezzalzouli,Abde Ezzalzouli,1,0
840,La Liga,Mallorca,Abdón Prats,Abdon Prats,Abdon Prats,1,0
345,Bundesliga,RB Leipzig,Abdou Diallo,Abdou Diallo,Abdou Diallo,1,0
2767,Serie A,Sassuolo,Abdou Harroui,Abdou Harroui,Abdou Harroui,1,0
1473,Ligue 1,Nantes,Abdoul Kader Bamba,Abdoul Kader Bamba,Abdoul Kader Bamba,1,0
1149,Ligue 1,Angers,Abdoulaye Bamba,Abdoulaye Bamba,Abdoulaye Bamba,1,0
1913,Premier League,Everton,Abdoulaye Doucouré,Abdoulaye Doucoure,Abdoulaye Doucoure,1,0
1686,Ligue 1,Troyes,Abdu Conté,Abdu Conte,Abdu Conte,1,0
897,La Liga,Rayo Vallecano,Abdul Mumin,Abdul Mumin,Abdul Mumin,1,0
627,La Liga,Betis,Abner,Abner,Abner,1,0
1214,Ligue 1,Brest,Achraf Dari,Achraf Dari,Achraf Dari,1,0
1536,Ligue 1,Paris S-G,Achraf Hakimi,Achraf Hakimi,Achraf Hakimi,1,0
2165,Premier League,Southampton,Adam Armstrong,Adam Armstrong,Adam Armstrong,1,0
1271,Ligue 1,Lens,Adam Buksa,Adam Buksa,Adam Buksa,1,0
1970,Premier League,Leeds United,Adam Forshaw,Adam Forshaw,Adam Forshaw,1,0
264,Bundesliga,Leverkusen,Adam Hložek,Adam Hlozek,Adam Hlozek,1,0
1826,Premier League,Brighton,Adam Lallana,Adam Lallana,Adam Lallana,1,0
2526,Serie A,Lazio,Adam Marušić,Adam Marusic,Adam Marusic,1,0
2860,Serie A,Udinese,Adam Masina,Adam Masina,Adam Masina,1,0
1300,Ligue 1,Lille,Adam Ounas,Adam Ounas,Adam Ounas,1,1
2640,Serie A,Napoli,Adam Ounas,Adam Ounas,Adam Ounas,1,1
1770,Premier League,Bournemouth,Adam Smith,Adam Smith,Adam Smith,1,0
1827,Premier League,Brighton,Adam Webster,Adam Webster,Adam Webster,1,0
2314,Serie A,Bologna,Adama Soumaoro,Adama Soumaoro,Adama Soumaoro,1,0
2255,Premier League,Wolves,Adama Traoré,Adama Traore,Adama Traore,1,0
2287,Serie A,Atalanta,Ademola Lookman,Ademola Lookman,Ademola Lookman,1,0
1326,Ligue 1,Lorient,Adil Aouchiche,Adil Aouchiche,Adil Aouchiche,1,0
1687,Ligue 1,Troyes,Adil Rami,Adil Rami,Adil Rami,1,0
981,La Liga,Sevilla,Adnan Januzaj,Adnan Januzaj,Adnan Januzaj,1,0
