1,Sampdoria,Atalanta,2022-08-13 Sampdoria-Atalanta,2022-08-13,0
2,Atalanta,Milan,2022-08-21 Atalanta-Milan,2022-08-21,0
3,Hellas Verona,Atalanta,2022-08-28 Hellas Verona-Atalanta,2022-08-28,0
4,Atalanta,Torino,2022-09-01 Atalanta-Torino,2022-09-01,0
5,Monza,Atalanta,2022-09-05 Monza-Atalanta,2022-09-05,0
6,Atalanta,Cremonese,2022-09-11 Atalanta-Cremonese,2022-09-11,0
7,Roma,Atalanta,2022-09-18 Roma-Atalanta,2022-09-18,0
8,Atalanta,Fiorentina,2022-10-02 Atalanta-Fiorentina,2022-10-02,0
9,Udinese,Atalanta,2022-10-09 Udinese-Atalanta,2022-10-09,0
10,Atalanta,Sassuolo,2022-10-15 Atalanta-Sassuolo,2022-10-15,0
11,Atalanta,Lazio,2022-10-23 Atalanta-Lazio,2022-10-23,0
12,Empoli,Atalanta,2022-10-30 Empoli-Atalanta,2022-10-30,0
13,Atalanta,Napoli,2022-11-05 Atalanta-Napoli,2022-11-05,0
14,Lecce,Atalanta,2022-11-09 Lecce-Atalanta,2022-11-09,0
15,Atalanta,Inter,2022-11-13 Atalanta-Inter,2022-11-13,0
16,Spezia,Atalanta,2023-01-04 Spezia-Atalanta,2023-01-04,0
17,Bologna,Atalanta,2023-01-09 Bologna-Atalanta,2023-01-09,0
18,Atalanta,Salernitana,2023-01-15 Atalanta-Salernitana,2023-01-15,0
19,Juventus,Atalanta,2023-01-22 Juventus-Atalanta,2023-01-22,0
20,Atalanta,Sampdoria,2023-01-28 Atalanta-Sampdoria,2023-01-28,0
21,Sassuolo,Atalanta,2023-02-04 Sassuolo-Atalanta,2023-02-04,0
22,Lazio,Atalanta,2023-02-11 Lazio-Atalanta,2023-02-11,0
23,Atalanta,Lecce,2023-02-19 Atalanta-Lecce,2023-02-19,0
24,Milan,Atalanta,2023-02-26 Milan-Atalanta,2023-02-26,0
25,Atalanta,Udinese,2023-03-04 Atalanta-Udinese,2023-03-04,0
26,Napoli,Atalanta,2023-03-11 Napoli-Atalanta,2023-03-11,0
27,Atalanta,Empoli,2023-03-17 Atalanta-Empoli,2023-03-17,0
28,Cremonese,Atalanta,2023-04-01 Cremonese-Atalanta,2023-04-01,0
29,Atalanta,Bologna,2023-04-08 Atalanta-Bologna,2023-04-08,0
30,Fiorentina,Atalanta,2023-04-17 Fiorentina-Atalanta,2023-04-17,0
31,Atalanta,Roma,2023-04-24 Atalanta-Roma,2023-04-24,0
32,Torino,Atalanta,2023-04-29 Torino-Atalanta,2023-04-29,0
33,Atalanta,Spezia,2023-05-03 Atalanta-Spezia,2023-05-03,0
