type,href,name,last_name,number,date_of_birth,place_of_birth/country,place_of_birth/city,age,height,citizenship,position,image_url,current_club/href,national_team,foot,current_market_value_start,current_market_value_end,code
player,/ederson/profil/spieler/238223,,Ederson,#31,"Aug 17, 1993",Brazil,Osasco (SP)  ,30,"1,88 m",Brazil,Goalkeeper,https://img.a.transfermarkt.technology/portrait/header/238223-1661978747.jpg?lm=1,/manchester-city/startseite/verein/,Brazil,left,40.00,m,ederson
player,/gianluigi-donnarumma/profil/spieler/315858,Gianluigi,Donnarumma,#99,"Feb 25, 1999",Italy,Castellammare di Stabia  ,24,"1,96 m",Italy,Goalkeeper,https://img.a.transfermarkt.technology/portrait/header/315858-1672304477.jpg?lm=1,/paris-saint-germain/startseite/verein/,Italy,right,45.00,m,gianluigi-donnarumma
player,/manuel-neuer/profil/spieler/17259,Manuel,Neuer,#1,"Mar 27, 1986",Germany,Gelsenkirchen  ,37,"1,93 m",Germany,Goalkeeper,https://img.a.transfermarkt.technology/portrait/header/17259-1667830554.jpg?lm=1,/bayern-munich/startseite/verein/,,right,5.00,m,manuel-neuer
player,/liam-delap/profil/spieler/610849,Liam,Delap,#20,"Feb 8, 2003",England,Winchester  ,20,"1,86 m",England,Attack - Centre-Forward,https://img.a.transfermarkt.technology/portrait/header/610849-1601282009.jpg?lm=1,/hull-city/startseite/verein/,England U21,right,7.00,m,liam-delap
player,/julian-alvarez/profil/spieler/576024,Julián,Álvarez,#19,"Jan 31, 2000",Argentina,Calchín  ,23,"1,70 m",Argentina,Attack - Centre-Forward,https://img.a.transfermarkt.technology/portrait/header/576024-1684920938.jpg?lm=1,/manchester-city/startseite/verein/,Argentina,right,80.00,m,julian-alvarez
player,/erling-haaland/profil/spieler/418560,Erling,Haaland,#9,"Jul 21, 2000",England,Leeds  ,23,"1,95 m",Norway,Attack - Centre-Forward,https://img.a.transfermarkt.technology/portrait/header/418560-1694590614.jpg?lm=1,/manchester-city/startseite/verein/,Norway,left,180.00,m,erling-haaland
player,/ben-knight/profil/spieler/568007,Ben,Knight,#96,"Jun 14, 2002",England,Cambridge  ,21,"1,70 m",England,Attack - Right Winger,https://img.a.transfermarkt.technology/portrait/header/568007-1633439233.jpg?lm=1,/manchester-city-u21/startseite/verein/,,left,300,k,ben-knight
player,/riyad-mahrez/profil/spieler/171424,Riyad,Mahrez,#7,"Feb 21, 1991",France,Sarcelles  ,32,"1,79 m",Algeria,Attack - Right Winger,https://img.a.transfermarkt.technology/portrait/header/171424-1683630060.jpg?lm=1,/al-ahli-sfc/startseite/verein/,Algeria,left,18.00,m,riyad-mahrez
player,/jack-grealish/profil/spieler/203460,Jack,Grealish,#10,"Sep 10, 1995",England,Birmingham  ,28,"1,80 m",England,Attack - Left Winger,https://img.a.transfermarkt.technology/portrait/header/203460-1676499047.jpg?lm=1,/manchester-city/startseite/verein/,England,right,75.00,m,jack-grealish
player,/phil-foden/profil/spieler/406635,Phil,Foden,#47,"May 28, 2000",England,Stockport  ,23,"1,71 m",England,Attack - Left Winger,https://img.a.transfermarkt.technology/portrait/header/406635-1668524492.jpg?lm=1,/manchester-city/startseite/verein/,England,left,110.00,m,phil-foden
player,/nico-oreilly/profil/spieler/743413,Nico,O'Reilly,#75,"Mar 21, 2005",England,Manchester  ,18,"1,93 m",England,midfield - Attacking Midfield,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,/manchester-city-u21/startseite/verein/,,left,,,nico-oreilly
player,/alex-robertson/profil/spieler/609887,Alex,Robertson,#8,"Apr 17, 2003",Scotland,Dundee  ,20,"1,82 m",Australia,midfield - Attacking Midfield,https://img.a.transfermarkt.technology/portrait/header/609887-1626339328.jpg?lm=1,/portsmouth-fc/startseite/verein/,,right,500,k,alex-robertson
player,/cole-palmer/profil/spieler/568177,Cole,Palmer,#20,"May 6, 2002",England,Manchester  ,21,"1,89 m",England,midfield - Attacking Midfield,https://img.a.transfermarkt.technology/portrait/header/568177-1689338413.jpg?lm=1,/chelsea-fc/startseite/verein/,England U21,left,32.00,m,cole-palmer
player,/mory-diaw/profil/spieler/164904,Mory,Diaw,#99,"Jun 22, 1993",France,Poissy  ,30,"1,97 m",Senegal,Goalkeeper,https://img.a.transfermarkt.technology/portrait/header/164904-1679507026.jpg?lm=1,/clermont-foot-63/startseite/verein/,Senegal,right,2.00,m,mory-diaw
player,/komnen-andric/profil/spieler/260316,Komnen,Andric,#9,"Jul 1, 1995",Yugoslavia (Republic),Baljevac  ,28,"1,89 m",Serbia,Attack - Centre-Forward,https://img.a.transfermarkt.technology/portrait/header/260316-1679509373.jpg?lm=1,/clermont-foot-63/startseite/verein/,,right,1.80,m,komnen-andric
player,/grejohn-kyei/profil/spieler/321647,Grejohn,Kyei,#95,"Aug 12, 1995",France,Gonesse  ,28,"1,87 m",France,Attack - Centre-Forward,https://img.a.transfermarkt.technology/portrait/header/321647-1676903279.jpg?lm=1,/clermont-foot-63/startseite/verein/,,right,2.50,m,grejohn-kyei
player,/giovani-versini/profil/spieler/922685,Giovani,Versini,,"Mar 18, 2004",,,19,"1,67 m",France,Attack - Right Winger,https://img.a.transfermarkt.technology/portrait/header/922685-1679523766.jpg?lm=1,/clermont-foot-63-b/startseite/verein/,,left,100,k,giovani-versini
player,/jodel-dossou/profil/spieler/221151,Jodel,Dossou,#20,"Mar 17, 1992",Benin,Bohicon  ,31,"1,71 m",Benin,Attack - Right Winger,https://img.a.transfermarkt.technology/portrait/header/221151-1625743157.jpg?lm=1,/fc-sochaux-montbeliard/startseite/verein/,Benin,right,800,k,jodel-dossou
player,/sofyan-chader/profil/spieler/748358,Sofyan,Chader,#69,"May 12, 2000",France,Lyon  ,23,"1,78 m",France,Attack - Left Winger,https://img.a.transfermarkt.technology/portrait/header/748358-1625743059.jpg?lm=1,/fc-luzern/startseite/verein/,,right,800,k,sofyan-chader
player,/ionut-radu/profil/spieler/303657,Ionuț,Radu,#20,"May 28, 1997",Romania,Bukarest  ,26,"1,88 m",Romania,Goalkeeper,https://img.a.transfermarkt.technology/portrait/header/303657-1699432718.jpg?lm=1,/afc-bournemouth/startseite/verein/,Romania,right,3.50,m,ionut-radu
player,/jeremie-bela/profil/spieler/170966,Jérémie,Bela,#91,"Apr 8, 1993",France,Melun  ,30,"1,73 m",Angola,Attack - Left Winger,https://img.a.transfermarkt.technology/portrait/header/170966-1679509386.jpg?lm=1,/clermont-foot-63/startseite/verein/,,right,1.50,m,jeremie-bela
player,/elbasan-rashani/profil/spieler/149579,Elbasan,Rashani,#18,"May 9, 1993",Sweden,Hillerstorp  ,30,"1,81 m",Kosovo,Attack - Left Winger,https://img.a.transfermarkt.technology/portrait/header/149579-1679509383.jpg?lm=1,/clermont-foot-63/startseite/verein/,Kosovo,left,2.00,m,elbasan-rashani
player,/jason-berthomier/profil/spieler/306191,Jason,Berthomier,#15,"Jan 6, 1990",France,Montluçon  ,33,"1,77 m",France,midfield - Attacking Midfield,https://img.a.transfermarkt.technology/portrait/header/306191-1625742621.jpg?lm=1,/newcastle-united-jets/startseite/verein/,,left,500,k,jason-berthomier
player,/aiman-maurer/profil/spieler/860056,Aïman,Maurer,#20,"Sep 25, 2004",France,Neuilly-sur-Seine  ,19,"1,73 m",Morocco,midfield - Attacking Midfield,https://img.a.transfermarkt.technology/portrait/header/860056-1679508382.jpg?lm=1,/clermont-foot-63/startseite/verein/,,right,800,k,aiman-maurer
player,/saif-eddine-khaoui/profil/spieler/270411,Saîf-Eddine,Khaoui,,"Apr 27, 1995",France,Paris  ,28,"1,80 m",Tunisia,midfield - Attacking Midfield,https://img.a.transfermarkt.technology/portrait/header/270411-1679510178.jpg?lm=1,/khor-fakkan-ssc/startseite/verein/,,left,2.00,m,saif-eddine-khaoui
player,/muhammed-cham/profil/spieler/422281,,Muhammed Cham,#10,"Sep 26, 2000",Austria,Wien  ,23,"1,80 m",Austria,midfield - Attacking Midfield,https://img.a.transfermarkt.technology/portrait/header/422281-1673266599.jpg?lm=1,/clermont-foot-63/startseite/verein/,,left,6.00,m,muhammed-cham
player,/idjessi-metsoko/profil/spieler/913305,Idjessi,Metsoko,#9,"Mar 14, 2002",France,Stains  ,21,,Togo,Attack - Centre-Forward,https://img.a.transfermarkt.technology/portrait/header/913305-1672330597.jpg?lm=1,/mfk-vyskov/startseite/verein/,,,275,k,idjessi-metsoko
player,/ousmane-camara/profil/spieler/827950,Ousmane,Camara,#28,"Nov 3, 2001",Guinea,Conakry  ,22,"1,84 m",Guinea,Attack - Centre-Forward,https://img.a.transfermarkt.technology/portrait/header/827950-1672329799.jpg?lm=1,/aj-auxerre/startseite/verein/,Guinea U23,,150,k,ousmane-camara
player,/gaetan-charbonnier/profil/spieler/93678,Gaëtan,Charbonnier,#10,"Dec 27, 1988",France,Saint-Mandé  ,34,"1,88 m",France,Attack - Centre-Forward,https://img.a.transfermarkt.technology/portrait/header/93678-1593967086.jpg?lm=1,/as-saint-etienne/startseite/verein/,,right,400,k,gaetan-charbonnier
player,/nuno-da-costa/profil/spieler/306166,Nuno,Da Costa,#18,"Feb 10, 1991",Cape Verde,Praïa  ,32,"1,82 m",Cape Verde,Attack - Centre-Forward,https://img.a.transfermarkt.technology/portrait/header/306166-1695906352.png?lm=1,/kasimpasa/startseite/verein/,,right,800,k,nuno-da-costa
player,/mbaye-niang/profil/spieler/157501,M'Baye,Niang,#9,"Dec 19, 1994",France,Meulan  ,28,"1,88 m",Senegal,Attack - Centre-Forward,https://img.a.transfermarkt.technology/portrait/header/157501-1695124679.png?lm=1,/adana-demirspor/startseite/verein/,,both,2.70,m,mbaye-niang
player,/matthis-abline/profil/spieler/659543,Matthis,Abline,#39,"Mar 28, 2003",France,Angers  ,20,"1,82 m",France,Attack - Centre-Forward,https://img.a.transfermarkt.technology/portrait/header/659543-1666699346.jpg?lm=1,/fc-nantes/startseite/verein/,,right,4.50,m,matthis-abline
player,/kylian-silvestre/profil/spieler/806167,Kylian,Silvestre,,"Aug 16, 2002",France,Gonesse  ,21,"1,83 m",France,Attack - Right Winger,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,/aj-auxerre-b/startseite/verein/,,left,100,k,kylian-silvestre
player,/lassine-sinayoko/profil/spieler/569140,Lassine,Sinayoko,#17,"Dec 8, 1999",Mali,Bamako  ,23,"1,86 m",Mali,Attack - Right Winger,https://img.a.transfermarkt.technology/portrait/header/569140-1635851830.jpg?lm=1,/aj-auxerre/startseite/verein/,Mali,right,1.20,m,lassine-sinayoko
player,/gauthier-hein/profil/spieler/344892,Gauthier,Hein,#7,"Aug 7, 1996",France,Thionville  ,27,"1,70 m",France,Attack - Right Winger,https://img.a.transfermarkt.technology/portrait/header/344892-1648068537.jpg?lm=1,/aj-auxerre/startseite/verein/,,left,2.50,m,gauthier-hein
player,/remy-dugimont/profil/spieler/174304,Rémy,Dugimont,,"Jul 1, 1986",France,Saint-Cloud  ,37,"1,82 m",France,Attack - Left Winger,https://img.a.transfermarkt.technology/portrait/header/174304-1551195868.jpg?lm=1,/js-saint-pierroise/startseite/verein/,,right,,,remy-dugimont
player,/siriki-dembele/profil/spieler/488656,Siriki,Dembélé,#17,"Sep 7, 1996",Cote d'Ivoire,Ouragahio  ,27,"1,73 m",Scotland,Attack - Left Winger,https://img.a.transfermarkt.technology/portrait/header/488656-1609851610.jpg?lm=1,/birmingham-city/startseite/verein/,,right,2.00,m,siriki-dembele
player,/kevin-danois/profil/spieler/743496,Kévin,Danois,#35,"Jun 28, 2004",Guadeloupe,Basse-Terre  ,19,,France,midfield - Attacking Midfield,https://img.a.transfermarkt.technology/portrait/header/743496-1672330479.jpg?lm=1,/aj-auxerre/startseite/verein/,,right,100,k,kevin-danois
player,/mathias-autret/profil/spieler/138171,Mathias,Autret,#23,"Mar 1, 1991",France,Saint-Thégonnec  ,32,"1,79 m",France,midfield - Attacking Midfield,https://img.a.transfermarkt.technology/portrait/header/138171-1593967544.jpg?lm=1,/sm-caen/startseite/verein/,,right,700,k,mathias-autret
player,/youssouf-mchangama/profil/spieler/167472,Youssouf,M'Changama,#10,"Aug 29, 1990",France,Marseille  ,33,"1,75 m",Comoros,midfield - Attacking Midfield,https://img.a.transfermarkt.technology/portrait/header/167472-1656331750.png?lm=1,/estac-troyes/startseite/verein/,Comoros,right,700,k,youssouf-mchangama
player,/hamza-sakhi/profil/spieler/263951,Hamza,Sakhi,#8,"Jun 7, 1996",Morocco,Rabat  ,27,"1,76 m",Morocco,midfield - Attacking Midfield,https://img.a.transfermarkt.technology/portrait/header/263951-1599424591.jpg?lm=1,/melbourne-city-fc/startseite/verein/,,right,2.00,m,hamza-sakhi
player,/gaetan-perrin/profil/spieler/353404,Gaëtan,Perrin,#10,"Jun 7, 1996",France,Lyon  ,27,"1,69 m",France,midfield - Right Midfield,https://img.a.transfermarkt.technology/portrait/header/353404-1672330321.jpg?lm=1,/aj-auxerre/startseite/verein/,,right,2.00,m,gaetan-perrin
player,/kays-ruiz-atil/profil/spieler/538045,Kays,Ruiz-Atil,,"Aug 26, 2002",France,Lyon  ,21,"1,77 m",Morocco,midfield - Central Midfield,https://img.a.transfermarkt.technology/portrait/header/538045-1602848085.jpg?lm=1,/without-club/startseite/verein/,,right,750,k,kays-ruiz-atil
player,/natanael-bouekou/profil/spieler/913303,Natanaël,Bouekou,#21,"May 10, 2002",France,Paris  ,21,,France,midfield - Defensive Midfield,https://img.a.transfermarkt.technology/portrait/header/913303-1672330237.jpg?lm=1,/chamois-niortais-fc/startseite/verein/,,,100,k,natanael-bouekou
player,/ousoumane-camara/profil/spieler/478107,Ousoumane,Camara,,"Dec 19, 1998",France,Pontoise  ,24,"1,84 m",France,midfield - Defensive Midfield,https://img.a.transfermarkt.technology/portrait/header/478107-1672330165.jpg?lm=1,/aj-auxerre-b/startseite/verein/,,right,150,k,ousoumane-camara
player,/rayan-raveloson/profil/spieler/344576,Rayan,Raveloson,#97,"Jan 16, 1997",Madagascar,Anosibe Ifanja  ,26,"1,83 m",Madagascar,midfield - Defensive Midfield,https://img.a.transfermarkt.technology/portrait/header/344576-1646079954.JPG?lm=1,/aj-auxerre/startseite/verein/,Madagascar,right,1.80,m,rayan-raveloson
player,/birama-toure/profil/spieler/229853,Birama,Touré,#60,"Jun 6, 1992",Mali,Kayes  ,31,"1,83 m",Mali,midfield - Defensive Midfield,https://img.a.transfermarkt.technology/portrait/header/229853-1599424312.jpg?lm=1,/al-riyadh-sc/startseite/verein/,,right,1.80,m,birama-toure
player,/elisha-owusu/profil/spieler/395695,Elisha,Owusu,#42,"Nov 7, 1997",France,Montreuil  ,26,"1,82 m",Ghana,midfield - Defensive Midfield,https://img.a.transfermarkt.technology/portrait/header/395695-1626767315.jpg?lm=1,/aj-auxerre/startseite/verein/,Ghana,right,2.50,m,elisha-owusu
player,/han-noah-massengo/profil/spieler/536508,Han-Noah,Massengo,#42,"Jul 7, 2001",France,Villepinte  ,22,"1,78 m",France,midfield - Defensive Midfield,https://img.a.transfermarkt.technology/portrait/header/536508-1541690981.jpg?lm=1,/burnley-fc/startseite/verein/,,right,5.00,m,han-noah-massengo
player,/brayann-pereira/profil/spieler/620317,Brayann,Pereira,#2,"May 21, 2003",France,Saint-Quentin  ,20,"1,72 m",France,Defender - Right-Back,https://img.a.transfermarkt.technology/portrait/header/620317-1684762075.png?lm=1,/nec-nijmegen/startseite/verein/,,right,600,k,brayann-pereira
player,/paul-joly/profil/spieler/806168,Paul,Joly,#26,"Jun 7, 2000",France,Orléans  ,23,"1,82 m",France,Defender - Right-Back,https://img.a.transfermarkt.technology/portrait/header/806168-1667290785.jpg?lm=1,/aj-auxerre/startseite/verein/,,right,1.20,m,paul-joly
player,/akim-zedadka/profil/spieler/327863,Akim,Zedadka,#13,"May 30, 1995",France,Pertuis  ,28,"1,73 m",Algeria,Defender - Right-Back,https://img.a.transfermarkt.technology/portrait/header/327863-1625741792.jpg?lm=1,/losc-lille/startseite/verein/,,right,2.50,m,akim-zedadka
player,/raphael-lipinski/profil/spieler/913323,Raphaël,Lipinski,#3,"Jul 30, 2002",,,21,,France,Defender - Left-Back,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,/rodez-af/startseite/verein/,,left,150,k,raphael-lipinski
player,/quentin-bernard/profil/spieler/98262,Quentin,Bernard,#2,"Jul 7, 1989",France,Poitiers  ,34,"1,84 m",France,Defender - Left-Back,https://img.a.transfermarkt.technology/portrait/header/98262-1599423747.jpg?lm=1,/chamois-niortais-fc/startseite/verein/,,left,350,k,quentin-bernard
